07/09/2015,0.00
08/09/2015,0.00
09/09/2015,0.00
10/09/2015,-0.01
11/09/2015,-0.02
12/09/2015,-0.03
13/09/2015,-0.04
14/09/2015,-0.04
15/09/2015,-0.05
16/09/2015,-0.03
17/09/2015,0.01
18/09/2015,0.01
19/09/2015,0.00
20/09/2015,0.00
21/09/2015,0.00
22/09/2015,0.00
23/09/2015,0.00
24/09/2015,0.00
25/09/2015,0.00
26/09/2015,0.00
27/09/2015,-0.01
28/09/2015,-0.01
29/09/2015,-0.02
30/09/2015,-0.02
01/10/2015,-0.03
02/10/2015,-0.04
03/10/2015,-0.04
04/10/2015,-0.05
05/10/2015,-0.05
06/10/2015,-0.02
07/10/2015,-0.01
08/10/2015,-0.01
09/10/2015,-0.01
10/10/2015,-0.02
11/10/2015,-0.02
12/10/2015,-0.02
13/10/2015,-0.03
14/10/2015,-0.03
15/10/2015,-0.03
16/10/2015,-0.03
17/10/2015,-0.04
18/10/2015,-0.04
19/10/2015,-0.04
20/10/2015,-0.05
21/10/2015,-0.03
22/10/2015,-0.03
23/10/2015,-0.03
24/10/2015,-0.03
25/10/2015,-0.03
26/10/2015,-0.03
27/10/2015,-0.04
28/10/2015,-0.02
29/10/2015,-0.01
30/10/2015,-0.01
31/10/2015,-0.01
01/11/2015,-0.01
02/11/2015,-0.01
03/11/2015,-0.01
04/11/2015,0.00
05/11/2015,0.00
06/11/2015,0.01
07/11/2015,0.01
08/11/2015,0.01
09/11/2015,0.01
10/11/2015,0.01
11/11/2015,0.01
12/11/2015,0.01
13/11/2015,0.01
14/11/2015,0.01
15/11/2015,0.01
16/11/2015,0.01
17/11/2015,0.01
18/11/2015,0.01
19/11/2015,0.01
20/11/2015,0.01
21/11/2015,0.02
22/11/2015,0.02
23/11/2015,0.02
24/11/2015,0.03
25/11/2015,0.04
26/11/2015,0.04
27/11/2015,0.04
28/11/2015,0.04
29/11/2015,0.04
30/11/2015,0.04
01/12/2015,0.05
02/12/2015,0.05
03/12/2015,0.05
04/12/2015,0.05
05/12/2015,0.05
06/12/2015,0.05
07/12/2015,0.04
08/12/2015,0.04
09/12/2015,0.04
10/12/2015,0.04
11/12/2015,0.05
12/12/2015,0.05
13/12/2015,0.05
14/12/2015,0.05
15/12/2015,0.05
16/12/2015,0.06
17/12/2015,0.06
18/12/2015,0.05
19/12/2015,0.05
20/12/2015,0.05
21/12/2015,0.05
22/12/2015,0.05
23/12/2015,0.06
24/12/2015,0.06
25/12/2015,0.06
26/12/2015,0.06
27/12/2015,0.06
28/12/2015,0.07
29/12/2015,0.07
30/12/2015,0.07
31/12/2015,0.07
